"season","round","pick","team","pfr_player_name","position","age","hof","allpro","probowls","seasons_started","seasons_played","w_av","games","RAS","w_av_py","stratum"
2006,3,85,"KAN","Brodie Croyle","QB",23,FALSE,0,0,0,5,2,18,5,0.4,"Stratum 1"
2007,4,124,"SEA","Mansfield Wrotto","OG",22,FALSE,0,0,1,4,6,27,1.96,1.5,"Stratum 1"
1994,6,178,"PIT","Jim Miller","QB",23,FALSE,0,0,2,9,16,37,2.03,1.77777777777778,"Stratum 1"
2018,1,22,"TEN","Rashaan Evans","LB",22,FALSE,0,0,4,7,32,87,5.14,4.57142857142857,"Stratum 1"
2016,4,117,"LAR","Pharoh Cooper","WR",21,FALSE,1,1,0,7,6,75,2.06,0.857142857142857,"Stratum 1"
1996,4,116,"CHI","Paul Grasmanis","DT",22,FALSE,0,0,0,10,12,104,5.11,1.2,"Stratum 1"
1990,2,28,"NYJ","Reggie Rembert","WR",23,FALSE,0,0,0,4,5,28,3.95,1.25,"Stratum 1"
2014,1,32,"MIN","Teddy Bridgewater","QB",21,FALSE,0,1,4,12,49,83,7.16,4.08333333333333,"Stratum 2"
2018,7,234,"CAR","Andre Smith","LB",21,FALSE,0,0,0,6,6,62,5.71,1,"Stratum 2"
1992,4,103,"GNB","Edgar Bennett","RB",23,FALSE,0,0,5,8,50,112,7.07,6.25,"Stratum 2"
2011,6,187,"TAM","Allen Bradford","RB",23,FALSE,0,0,0,5,1,19,6.02,0.2,"Stratum 2"
2010,2,60,"SEA","Golden Tate","WR",22,FALSE,0,1,7,11,58,160,7.49,5.27272727272727,"Stratum 2"
2011,7,214,"HOU","Derek Newton","OT",23,FALSE,0,0,4,8,28,83,6.96,3.5,"Stratum 2"
2017,5,160,"CLE","Roderick Johnson","OT",21,FALSE,0,0,0,4,5,29,7.36,1.25,"Stratum 2"
